brand_logo_id,brand_name_kr,brand_name_en,related_brands,insta_channel_id
523,비건비긴즈,NULL,NULL,NULL
524,폴더,Folder,NULL,NULL
525,Fiverr,NULL,NULL,NULL
526,그리안스,NULL,NULL,NULL
527,상주시,NULL,NULL,NULL
528,베터헬프,Betterhelp,NULL,NULL
529,엘리스앤클레어,NULL,NULL,NULL
530,세광양대창,NULL,NULL,NULL
531,돼지게티,NULL,NULL,NULL
532,"범금융권 홍보TF",NULL,NULL,NULL
533,KG모빌리티,"KG Mobility",쌍용자동차,NULL
534,강대박,NULL,NULL,NULL
535,카앤피플,NULL,NULL,NULL
536,NBA2K,NULL,NULL,NULL
537,굽네몰,NULL,NULL,NULL
538,삼립,SAMLIP,NULL,NULL
539,오스트본,NULL,NULL,NULL
540,지방시,Givenchy,지방시뷰티,NULL
541,공주시,NULL,NULL,NULL
542,퍼피유,NULL,NULL,NULL
543,롯데호텔,NULL,아라이리조트,NULL
544,봉화군청,NULL,NULL,NULL
545,까사미아,CASAMIA,NULL,NULL
546,프로틴업,NULL,NULL,NULL
547,워터밤,NULL,NULL,NULL
548,직구삼,NULL,NULL,NULL
549,테나,NULL,NULL,NULL
550,데몬캐슬,NULL,NULL,NULL
551,고기싸롱,NULL,NULL,NULL
552,동아출판,NULL,"하이탑,  보카클리어",NULL
553,카카오티비,"Kakao TV",NULL,NULL
554,지호푸드,NULL,NULL,NULL
555,집사의레시피,NULL,NULL,NULL
556,티트리트,TeaTreat,"여우티,  푸룬 딥스트롱",NULL
557,아이스노게임즈,NULL,NULL,NULL
558,카카오페이지,"Kakao page",NULL,NULL
559,정관장,,"활삼28,  홍이장군, 홍삼정, 에브리타임, 진생밀크, 한국인삼공사",NULL
560,김영사,NULL,NULL,NULL
561,글로어,NULL,NULL,NULL
562,헨켈,Henkel,"퍼실, 컴배트, 홈키파, 퍼울,  사이오스",NULL
563,국토교통부,,NULL,NULL
564,하이버,Hiver,NULL,NULL
565,LAIZESKE,NULL,NULL,NULL
566,에브리데이즈,NULL,NULL,NULL
567,근성푸드,NULL,NULL,NULL
568,어나더스케줄,"Another Schedule",NULL,NULL
569,하만,NULL,NULL,NULL
570,현대카드,NULL,NULL,NULL
571,티오더,Torder,NULL,NULL
572,미트엔조이,NULL,NULL,NULL
573,대전관광공사,NULL,NULL,NULL
574,SK매직,"SK magic",NULL,NULL
575,모우트,Moat,NULL,NULL
576,세가사미,NULL,NULL,NULL
577,무공돈까스,NULL,NULL,NULL
578,애정촌,NULL,NULL,NULL
579,딕셔니스트,Dixionist,NULL,NULL
580,커넥트홈,NULL,NULL,NULL
581,SSF샵,"SSF shop",NULL,NULL
583,정성농장,NULL,NULL,NULL
584,스킬쉐어,NULL,NULL,NULL
